title,genre
Totally Killer,Comedy
Guy Ritchie's The Covenant,Horror
Guy Ritchie's The Covenant,Mystery
A Million Miles Away,Horror
A Million Miles Away,Sci-Fi
Kelce,Fantasy
Kelce,Romance
Despicable Me 3,War
Those Who Wish Me Dead,Crime
Renfield,Children
The Proposal,Sci-Fi
The Proposal,Mystery
Black Adam,Crime
Black Adam,Sci-Fi
A Thousand and One,Thriller
A Thousand and One,Drama
Pokémon Detective Pikachu,Thriller
Pokémon Detective Pikachu,Animation
Pokémon Detective Pikachu,Crime
Top Gun: Maverick,Drama
DC League of Super-Pets,Horror
DC League of Super-Pets,Sci-Fi
DC League of Super-Pets,Horror
Aquaman,Action
Aquaman,Horror
Dungeons & Dragons: Honor Among Thieves,Romance
Dungeons & Dragons: Honor Among Thieves,Children
Dungeons & Dragons: Honor Among Thieves,Action
Mechanic: Resurrection,Drama
The Suicide Squad (2021),Horror
The Suicide Squad (2021),Romance
The Suicide Squad (2021),Mystery
The Batman,Thriller
F9: The Fast Saga,Horror
F9: The Fast Saga,Fantasy
Sitting In Bars With Cake,Sci-Fi
The Other Woman,Romance
The Other Woman,Crime
The Other Woman,Crime
Twilight,Action
Twilight,Drama
Teenage Mutant Ninja Turtles: Mutant Mayhem | Extended Preview,Crime
Mike and Dave Need Wedding Dates (4K UHD),Horror
The Equalizer 3 - Bonus X-Ray Edition,Fantasy
Pitch Perfect,Horror
Pitch Perfect,Sci-Fi
Jurassic World Dominion,Comedy
Champions,Sci-Fi
Champions,Mystery
Rock Dog 2: Rock Around the Park,Crime
Rock Dog 2: Rock Around the Park,Horror
Rock Dog 2: Rock Around the Park,Horror
The Forever Purge,Children
The Forever Purge,War
The Forever Purge,War
Halloween Ends,Animation
Elvis,Drama
Elvis,Adventure
Meg 2: The Trench,Children
Unhinged,War
Unhinged,War
Unhinged,Thriller
Barbie,Sci-Fi
Joker,Sci-Fi
Smurfs: The Lost Village,Fantasy
Smurfs: The Lost Village,Fantasy
That's My Boy,Romance
That's My Boy,Sci-Fi
That's My Boy,Children
The Bourne Legacy,Sci-Fi
The Bourne Legacy,War
The Spy Who Dumped Me,Action
Old,Children
Old,Horror
John Wick: Chapter 4,Mystery
Sicario,Horror
Sicario,Mystery
Sicario,Sci-Fi
The Addams Family,Comedy
The Addams Family,Fantasy
The Addams Family,Crime
The Super Mario Bros. Movie - Bonus X-Ray Edition,Animation
The Super Mario Bros. Movie - Bonus X-Ray Edition,Fantasy
My Fault,Drama
My Fault,Drama
My Fault,Romance
Sonic the Hedgehog 2,Sci-Fi
Sonic the Hedgehog 2,Action
Sonic the Hedgehog 2,Thriller
Jonah Hex,Children
Jonah Hex,Thriller
Jonah Hex,Fantasy
Parker,Adventure
The Twilight Saga: New Moon,Sci-Fi
The Twilight Saga: New Moon,Children
Wonder Woman 1984,Fantasy
Wonder Woman 1984,Mystery
Wonder Woman 1984,Comedy
Angel Eyes,Horror
Angel Eyes,Action
Creed III,Adventure
Creed III,Drama
M3GAN,Drama
M3GAN,Comedy
Justice League,Horror
Justice League,Sci-Fi
Justice League,Crime
"Red, White & Royal Blue",Comedy
"Red, White & Royal Blue",Mystery
"Red, White & Royal Blue",Thriller
Saw,Comedy
Smile,Animation
Smile,Romance
Love & Murder: Atlanta Playboy Part One,Fantasy
Tales of Halloween,Children
Tales of Halloween,Animation
Tales of Halloween,Fantasy
The Addams Family 2,Animation
The Bourne Supremacy,Action
Knock at the Cabin,Action
Knock at the Cabin,Comedy
The Blackening,Crime
Harlem Nights,Mystery
Harlem Nights,Adventure
Harlem Nights,War
Godzilla vs. Kong,Drama
Godzilla vs. Kong,Thriller
The Black Phone,Romance
The Black Phone,Fantasy
Transformers: Rise of the Beasts,Thriller
Suicide Squad (2016),Crime
Suicide Squad (2016),Action
Suicide Squad (2016),Comedy
Air,Crime
Red Sparrow,Sci-Fi
The Bourne Identity,Adventure
The Bourne Identity,Thriller
The Bourne Identity,Thriller
Nope,Fantasy
Everything is Both,Action
Memory,Mystery
Memory,Comedy
Freaky,Comedy
Freaky,Horror
Nobody,Comedy
Nobody,Sci-Fi
Nobody,Thriller
The Rebound,Thriller
The Rebound,Thriller
Mama,Drama
Mama,Drama
The Magic Of Belle Isle,Adventure
The Magic Of Belle Isle,Thriller
Operation Fortune: Ruse de Guerre,Thriller
Operation Fortune: Ruse de Guerre,Horror
Operation Fortune: Ruse de Guerre,Children
Edge of Darkness,Romance
Edge of Darkness,Crime
Snapshot of Love,Action
Puppy Love,Fantasy
Cold Pursuit,Crime
My Louisiana Sky,Romance
My Louisiana Sky,Crime
Running Scared,Fantasy
Devil,Comedy
Devil,Horror
Devil,Animation
Wonder Woman,Animation
Interstellar,Crime
Interstellar,Children
PAW Patrol: The Movie,Mystery
Ozzy,Crime
Ozzy,Drama
Ozzy,Action
"The Twilight Saga: Breaking Dawn, Part 2",Comedy
The Break-Up,Animation
The Tomorrow War,Sci-Fi
No Hard Feelings,Mystery
No Hard Feelings,Sci-Fi
No Hard Feelings,Action
No Time to Die,Sci-Fi
No Time to Die,Thriller
The SpongeBob Movie: Sponge Out Of Water,Horror
The SpongeBob Movie: Sponge Out Of Water,Crime
The SpongeBob Movie: Sponge Out Of Water,Animation
Ticket to Paradise,Fantasy
Ticket to Paradise,Fantasy
Ticket to Paradise,Children
Shaft (2019),Animation
Jigsaw,Adventure
You Asked to See the Monster,Thriller
You Asked to See the Monster,Crime
Scooby-Doo!: The Movie,Comedy
Mission: Impossible - Dead Reckoning Part One,Animation
Talk to Me,Comedy
Talk to Me,Mystery
Talk to Me,Action
Constantine,Fantasy
Blacklight,Horror
Running with the Devil,Fantasy
Running with the Devil,Romance
The Post,Action
The Post,Mystery
The Post,War
Watchmen,Drama
Watchmen,Drama
Watchmen,Children
Terrifier 2,Sci-Fi
Terrifier 2,Comedy
The Wedding Singer,Drama
The Wedding Singer,Crime
The Wedding Singer,Animation
Mission: Impossible - Dead Reckoning Part One,Crime
The Lost City,Horror
The Lost City,Romance
Running with the Devil,Comedy
Fantastica: A Boonie Bears Adventure,Crime
Howard's Mill,Horror
The Nun II,Mystery
The Nun II,Sci-Fi
Baked With a Kiss,Adventure
Baked With a Kiss,Thriller
Baked With a Kiss,Crime
The Jungle Bunch,Sci-Fi
The Jungle Bunch,Fantasy
The Jungle Bunch,Fantasy
80 for Brady,Mystery
80 for Brady,War
Scream VI,War
Scream VI,War
Scream VI,Romance
Scooby-Doo!: The Movie,War
Dog,Animation
Shazam!,Crime
Shazam!,Sci-Fi
Pavement,Drama
Pavement,Mystery
Pavement,Fantasy
The Equalizer,Comedy
The Equalizer,Horror
The Equalizer,War
Driving Miss Daisy,Romance
Driving Miss Daisy,Horror
M3GAN (Unrated),War
Saw II,Fantasy
Saw II,Children
Saw II,Sci-Fi
PAW Patrol: Mighty Pups,Adventure
PAW Patrol: Mighty Pups,Thriller
Grace of Monaco,Comedy
Grace of Monaco,Comedy
Act of Valor,Adventure
Act of Valor,War
Act of Valor,Crime
Observe and Report,Fantasy
Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),Adventure
Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),Adventure
Indiana Jones and the Dial of Destiny (Bonus Content and X-Ray Features),Horror
Tom & Jerry,Sci-Fi
Tom & Jerry,War
Tom & Jerry,Action
"Love & Murder: Atlanta Playboy, Pt. 2",Romance
"Love & Murder: Atlanta Playboy, Pt. 2",Action
"Love & Murder: Atlanta Playboy, Pt. 2",Mystery
The Hot Chick,Children
The Hot Chick,Action
The Hot Chick,Fantasy
Greater,Animation
Greater,Adventure
Greater,Fantasy
Extraction,Thriller
Extraction,Comedy
Saw III,Sci-Fi
Saw III,Romance
Saw III,Crime
Fools Rush In,Romance
Legally Blonde,Thriller
Legally Blonde,Children
Blitz,Children
Blitz,Animation
Blitz,Animation
Saw III,Children
Saw III,Action
Saw III,Crime
Twilight Saga: Breaking Dawn Part 1,Mystery
Blitz,Drama
Blitz,Action
Fools Rush In,Thriller
Fools Rush In,Animation
Puss in Boots,Horror
Puss in Boots,Horror
Amy's F It List,Horror
One for the Money,Crime
One for the Money,Horror
One for the Money,Crime
10 YEARS,Fantasy
10 YEARS,War
10 YEARS,Comedy
Violent Night,Animation
Blood and Money,Crime
Blood and Money,War
Sisu,Thriller
Sisu,Sci-Fi
The Peanut Butter Falcon,Horror
The Peanut Butter Falcon,Crime
The Peanut Butter Falcon,Comedy
Beast,Horror
Bewitched,Horror
The Night Clerk,Fantasy
Wild Target,Thriller
Wild Target,Thriller
Teenage Mutant Ninja Turtles,Drama
Teenage Mutant Ninja Turtles,Fantasy
The Secret: Dare to Dream,Mystery
"Legally Blonde 2: Red, White & Blonde",Thriller
"Legally Blonde 2: Red, White & Blonde",Thriller
"Legally Blonde 2: Red, White & Blonde",Crime
Leap!,Fantasy
Leap!,Comedy
Leap!,Crime
The Darkest Minds,Horror
The Darkest Minds,Crime
The Darkest Minds,Drama
Green Lantern,Animation
Green Lantern,Romance
The Pig Farm,Crime
The Pig Farm,Drama
Mars Attacks!,Thriller
The Watch,Sci-Fi
Blow,Children
The Birdcage,War
The Birdcage,Action
The Birdcage,Fantasy
Deadly Entanglement,Action
Deadly Entanglement,Children
Deadly Entanglement,Sci-Fi
Solace,Horror
Hercules (2014),Thriller
2 Guns,Animation
2 Guns,War
2 Guns,Action
Clifford the Big Red Dog,Romance
Clifford the Big Red Dog,Adventure
Army of Darkness,Sci-Fi
Riddick,Animation
For Love Of The Game,Action
To Freedom,Romance
Abbott and Costello Meet Frankenstein,Animation
Abbott and Costello Meet Frankenstein,Crime
Abbott and Costello Meet Frankenstein,War
The Pig Farm,Horror
The Pig Farm,Animation
The Pig Farm,Action
No One Lives,Comedy
