id,name
0,Nahnatchka Khan
1,Guy Ritchie
2,Alejandra Márquez Abella
3,Don Argott
4,Pierre Coffin
5,Kyle Balda
6,Taylor Sheridan
7,Chris McKay
8,Anne Fletcher
9,Jaume Collet-Serra
10,A.V. Rockwell
11,Rob Letterman
12,Joseph Kosinski
13,Jared Stern
14,James Wan
15,Jonathan Goldstein
16,John Francis Daley
17,Dennis Gansel
18,James Gunn
19,Matt Reeves
20,Justin Lin
21,Trish Sie
22,Nick Cassavetes
23,Catherine Hardwicke
24,Jeff Rowe
25,Kyler Spears
26,Jake Szymanski
27,Antoine Fuqua
28,Jason Moore
29,Colin Trevorrow
30,Bobby Farrelly
31,Mark Baldo
32,Everardo Valerio Gout
33,David Gordon Green
34,Baz Luhrmann
35,Ben Wheatley
36,Derrick Borte
37,Greta Gerwig
38,Todd Phillips
39,Kelly Asbury
40,Sean Anders
41,Tony Gilroy
42,Susanna Fogel
43,M. Night Shyamalan
44,Chad Stahelski
45,Denis Villeneuve
46,Conrad Vernon
47,Aaron Horvath
48,Michael Jelenic
49,Domingo González
50,Jeff Fowler
51,Jimmy Hayward
52,Taylor Hackford
53,Chris Weitz
54,Patty Jenkins
55,Luis Mandoki
56,Michael B. Jordan
57,Gerard Johnstone
58,Zack Snyder
59,Matthew López
60,James Wan
61,Parker Finn
62,Jaira Thomas
63,Darren Lynn Bousman
64,Axelle Carolyn
65,Adam Gierasch
66,Greg Tiernan
67,Conrad Vernon
68,Laura Brousseau
69,Paul Greengrass
70,M. Night Shyamalan
71,Tim Story
72,Eddie Murphy
73,Adam Wingard
74,Scott Derrickson
75,Steven Caple
76,David Ayer
77,Ben Affleck
78,Francis Lawrence
79,Doug Liman
80,Jordan Peele
81,Ceth Watson
82,Martin Campbell
83,Christopher Landon
84,Ilya Naishuller
85,Bart Freundlich
86,Andres Muschietti
87,Rob Reiner
88,Guy Ritchie
89,Martin Campbell
90,Elizabeth Snoderly
91,Richard Alan Reid_
92,Nick Fabiano
93,Hans Petter Moland
94,Adam Arkin
95,---
96,John Erick Dowdle
97,Drew Dowdle
98,Patty Jenkins
99,Christopher Nolan
100,Cal Brunker
101,Alberto Rodriguez
102,Bill Condon
103,Sharon Vaughn
104,Chris McKay
105,Gene Stupnitsky
106,Cary Joji Fukunaga
107,Mike Mitchell
108,Paul Tibbitt
109,Ol Parker
110,Tim Story
111,Michael Spierig
112,Peter Spierig
113,Thomas Leader
114,Raja Gosnell
115,Christopher McQuarrie
116,Danny Philippou
117,Michael Philippou
118,Francis Lawrence
119,Mark Williams
120,Jason Cabell
121,Steven Spielberg
122,Zack Snyder
123,Damien Leone
124,Frank Coraci
125,Christopher McQuarrie
126,Adam Nee
127,Aaron Nee
128,Jason Cabell
129,Leon Ding
130,Shannon Houchins
131,Potsy Ponciroli
132,Michael Chaves
133,Brittany Underwood
134,David Alaux
135,Kyle Marvin
136,Matt Bettinelli-Olpin
137,Tyler Gillett
138,Raja Gosnell
139,Channing Tatum
140,Reid Carolin
141,David Sandberg
142,Darrell James Roodt
143,Antoine Fuqua
144,Bruce Beresford
145,Gerard Johnstone
146,Darren Lynn Bousman
147,Jamie Whitney
148,Olivier Dahan
149,Mike McCoy
150,Scott Waugh
151,Jody Hill
152,James Mangold
153,Tim Story
154,Jaira Thomas
155,Tom Brady
156,David Hunt
157,Steven Miller
158,Darren Lynn Bousman
159,Andy Tennant
160,Robert Luketic
161,Elliott Lester
162,Darren Lynn Bousman
163,Bill Condon
164,Elliott Lester
165,Andy Tennant
166,Chris Miller
167,Mark S. Allen
168,Julie Anne Robinson
169,Jamie Linden
170,Tommy Wirkola
171,John Barr
172,Jalmari Helander
173,Michael Schwartz
174,Tyler Nilson
175,Baltasar Kormakur
176,Nora Ephron
177,Michael Cristofer
178,Jonathan Lynn
179,Jonathan Liebesman
180,Andy Tennant
181,Charles Herman-Wurmfeld
182,Eric Summer
183,Eric Warin
184,Jennifer Yuh Nelson
185,Martin Campbell
186,Christine Nielsen
187,Tim Burton
188,Akiva Schaffer
189,Ted Demme
190,Mike Nichols
191,Bobby Yan
192,Afonso Poyart
193,Brett Ratner
194,Baltasar Kormakur
195,Walt Becker
196,Sam Raimi
197,David Twohy
198,Sam Raimi
199,Biodun Stephen
200,Charles Barton
201,Christine Nielsen
202,Ryûhei Kitamura
203,Jonas Akerlund
204,Brad Furman
205,John Lee Hancock
206,Zack Snyder
207,Rob L. Cohen
208,Angel Manuel Solo
209,Nelson
210,Michael Bay
211,Reinaldo Marcus Green
212,Jérémie Degruson
213,Ben Stassen
214,Pedro Pablo Ibarra
215,"""Pitipol Ybarra"""
216,Jonathan Lynn
217,Henry Selick
218,Andy Muschietti
219,Bennett Miller
220,Jamie Blanks
221,Celso García
222,Stephen Herek
223,Raja Gosnell
224,Kevin Hooks
225,Neill Blomkamp
226,Nia DaCosta
227,Todd Holland
228,Chris Columbus
229,Danny Wolf
230,Terence Young
231,Bill Duke
232,Celso García
233,Tim Burton
234,Agnieszka Wojtowicz-Vosloo
235,Nelson
236,John Krasinski
237,ean-Jacques Annaud
238,Lin Oeding
239,Steve McQueen
240,Ken Kwapis
241,Jeff Tremaine
242,Darren Lynn Bousman
243,Baltasar Kormákur
244,Baltasar Kormakur
245,Oliver Daly
246,Nia Vardalos
247,Jared Hess
248,Zack Snyder
249,Rod Daniel
250,Robert Luketic
251,Gren Wells
252,Patrick Wilson
253,Renny Harlin
254,Jeff Wadlow
255,Susan Seidelman
256,Roland Emmerich
257,Alex Ranarivelo
258,Brad Furman
259,F. Gray
260,Oliver Daly
261,Terence Young
262,Steve Barron
263,Steve Barron
264,Alex Ranarivelo
265,Brad Furman
266,Matt Bettinelli-Olpin
267,Tyler Gillett
268,Maurice Mo' Jones
269,Wes Craven
270,Ami Canaan Mann
271,David Ayer
272,Allen Coulter
273,Jacob Chase
274,Peter Segal
275,Brian Baugh
276,Alexs Stadermann
277,Joaquim Dos Santos
278,Kemp Powers
279,Justin K. Thompson
280,Christian Faure
281,Mark Haber
282,Edgar Wright
283,---
284,Stephen Chiodo
285,David Twohy
286,Joe Johnston
287,---
288,Mark Haber
289,Mark Waters
290,Olivier Megaton
291,Robin Wright
292,Vic Armstrong
293,Christian Faure
294,Sam Mendes
295,Matt Angel
296,Simon Curtis
297,Jonathan Hensleigh
298,Anthony Leondis
299,Sam Raimi
300,Carl Reiner
301,Sun Haipeng
302,Gary Winick
303,Tony Giglio
304,Rupert Wyatt
305,Chuck Russell
306,Stuart Gillard
307,Chris Evans
308,Robert Stromberg
309,Christian Alvart
310,Hamish Grieve
311,Derrick Hammond
312,Emerald Fennell
313,Stefan Ruzowitzky
314,Joe Johnston
315,Hamish Grieve
316,Derrick Hammond
317,Emerald Fennell
318,Christian Alvart
319,Dick Lowry
320,Rupert Wyatt
321,Ron Shelton
322,Vadim Kapridov
323,Wendy Faraone
324,Luc Besson
325,Mick Garris
326,
327,Guillermo Del Toro
328,James Dodson
329,Arthur Marks
330,Wattsenglish Ltd.
331,Will McFadden
332,
333,Jean-Jacques Annaud
334,Stephen Hillenburg
335,Mark Osborne
336,Simon Curtis
337,Thomas Bezucha
338,Shimon Dotan
339,Donald Petrie
340,Raja Gosnell
341,Harold Becker
342,Eli Gonda
343,Richard Claus
344,Karsten Kiilerich
345,Steve Pink
346,Chris Columbus
347,
348,Julius Avery
349,Julius Avery
350,Holger Tappe
351,Tod Browning
352,Adrian Powers
353,Richard Claus
354,Karsten Kiilerich
355,nbcu
356,Marc Forster
357,Joe Carnahan
358,Colin Trevorrow
359,David Hackl
360,Michael Tiddes
361,Robert Harmon
362,Yann Demange
363,Christopher Nolan
364,Mark Williams
365,Scott Pryor AND Gloria Stella
366,Nick Gillam-Smith
367,Colm McCarthy
368,Mark Williams
369,Tim Searfoss
370,---
371,John Carpenter
372,Jim Field Smith
373,Stephen Maxwell Johnson
374,Tim Hill
375,Jeannot Szwarc
376,Scott Pryor AND Gloria Stella
377,Aaron Horvath
378,---
379,Emile Ardolino
380,Xavier Gens
381,José Padilha
382,Andre Ovredal
383,Christopher Nolan
384,nbcu
385,Julius Onah
386,Robert Harmon
387,Barry Sonnenfeld
388,Kriv Stenders
389,Michael Damian
390,Tom Vaughan
391,
392,Ethan Coen
393,Lexi Alexander
394,David Hackl
395,Peter Howitt
396,Marcus Raboy
397,Jason Reitman
398,William Kaufman
399,Darnell Martin
400,Dick Lowry
401,Sameer Vidwans
402,Chris Weitz
403,Jeff Fowler
404,William Brent Bell
405,Kathryn Bigelow
406,Seth Gordon
407,Andy Serkis
408,Adil El Arbi
409,Bilall Fallah
410,Jaume Serra
411,Stephen Susco
412,Bo Welch
413,Marjane Satrapi
414,Rupert Wyatt
415,
416,Kevin Connolly
417,Mike Flanagan
418,T.J. Scott
419,Paul Greengrass
420,Richard Gray
421,Breck Eisner
422,Anthony Fabian
423,Diederik Van Rooijen
424,McG
425,Sarah Polley
426,Tarik Saleh
427,Michael Radford
428,Antoine Fuqua
429,Robert Schwentke
430,Clax
431,Charles Stone III
432,John Carpenter
433,Gavin O'Connor
434,Woody Allen
435,Andre Ovredal
436,Oran Zegman
437,Thomas Purifoy Jr.
438,Stanley Kubrick
439,Robert Luketic
440,Quentin Tarantino
441,Reinaldo Marcus Green
442,Craig Mazin
443,T.J. Scott
444,Ben Stassen
445,Mimi Maynard
446,John Hughes
447,Rob Cohen
448,Sean Anders
449,Victor Salva
450,Thomas Purifoy Jr.
451,Kevin Greutert
452,Jason Lei Howden
453,Stanley Kubrick
454,Neil LaBute
455,Ben Stassen
456,Mimi Maynard
457,David Koepp
458,Pierre Gang
459,John Wells
460,Rob Cohen
461,Peter Askin
462,Howard Hawks
463,George Waggner
464,Craig Goldstein
465,
466,Robert Luketic
467,Joon-ho Bong
468,William Beaudine
469,Scott Mosier
470,Yarrow Cheney
471,Matt Russell
472,Dallas Jackson
473,Kevin Greutert
474,Maria Schrader
475,---
476,Kerem Sanga
477,Ric Roman Waugh
478,Richard Ramsay
479,Louis Leterrier
480,Darren Aronofsky
481,Jean-François Richet
482,Eli Craig
483,Javier Veiga
484,Gary Fleder
485,Jon Erwin
486,Andrew Erwin
487,Deon Taylor
488,Joel Souza
489,JASON ORLEY
490,Simon Wincer
491,Damián Romay
492,Gabriela Cowperthwaite
493,Henry Joost
494,Ariel Schulman
495,Alan Poul
496,Cemal Alpan
497,Sean Anders
498,Tommy Wirkola
499,Scott Windhauser
500,Andrew Niccol
501,Jon Turteltaub
502,Alfonso Cuaron
503,Sean Anders
504,Dennie Gordon
505,Terry Ingram
506,Rob Reiner
507,Luke Scott
508,Charles Stone III
509,Joel Souza
510,Deon Taylor
511,Doug Campbell
512,Steven Spielberg
513,Costner
514,Kevin
515,Blair Hayes
516,Anne Fletcher
517,Andrew Niccol
518,Jake Kasdan
519,Rob Reiner
520,Adele Lim
521,Hemanth M Rao
522,Peter Farrelly
523,Bobby Farrelly
524,Kelly Asbury
525,Lorna Cook
526,
527,Charles Stone III
528,Gavin Wiesen
529,Luke Scott
530,Doug Campbell
531,Kathryn Bigelow
532,Karl Freund
533,John Curran
534,Quentin Tarantino
535,Paul McGuigan
536,Hemanth M Rao
