title,Format,ReleaseYear,MPAA_Rating,Price,genre,id
Totally Killer,Prime Video,2023.0,R,,Comedy,0
Guy Ritchie's The Covenant,Prime Video,2023.0,R,5.99,"Horror,Mystery",1
A Million Miles Away,Prime Video,2023.0,PG,,"Horror,Sci-Fi",2
Kelce,Prime Video,2023.0,,,"Fantasy,Romance",3
Despicable Me 3,Prime Video,2017.0,PG,,War,4
Those Who Wish Me Dead,Prime Video,2021.0,R,3.79,Crime,5
Renfield,Prime Video,2023.0,R,5.99,Children,6
The Proposal,Prime Video,2009.0,PG-13,,"Sci-Fi,Mystery",7
Black Adam,Prime Video,2022.0,PG-13,3.79,"Crime,Sci-Fi",8
A Thousand and One,Prime Video,2023.0,R,5.89,"Thriller,Drama",9
Pokémon Detective Pikachu,Prime Video,2019.0,PG,,"Thriller,Animation,Crime",10
Top Gun: Maverick,Prime Video,2022.0,PG-13,3.99,Drama,11
DC League of Super-Pets,Prime Video,2022.0,PG,3.99,"Horror,Sci-Fi,Horror",12
Aquaman,Prime Video,2018.0,PG-13,3.79,"Action,Horror",13
Dungeons & Dragons: Honor Among Thieves,Prime Video,2023.0,PG-13,5.89,"Romance,Children,Action",14
Mechanic: Resurrection,Prime Video,2016.0,R,,Drama,15
The Suicide Squad (2021),Prime Video,2021.0,R,3.79,"Horror,Romance,Mystery",16
The Batman,Prime Video,2022.0,PG-13,3.99,Thriller,17
F9: The Fast Saga,Prime Video,2021.0,PG-13,,"Horror,Fantasy",18
Sitting In Bars With Cake,Prime Video,2023.0,PG-13,,Sci-Fi,19
The Other Woman,Prime Video,2014.0,PG-13,,"Romance,Crime,Crime",20
Twilight,Prime Video,2008.0,,3.99,"Action,Drama",21
Teenage Mutant Ninja Turtles: Mutant Mayhem | Extended Preview,Prime Video,2023.0,PG,5.99,Crime,22
Mike and Dave Need Wedding Dates (4K UHD),Prime Video,2016.0,R,,Horror,23
The Equalizer 3 - Bonus X-Ray Edition,Prime Video,2023.0,R,19.99,Fantasy,24
Pitch Perfect,Prime Video,2012.0,PG-13,,"Horror,Sci-Fi",25
Jurassic World Dominion,Prime Video,2022.0,PG-13,3.99,Comedy,26
Champions,Prime Video,2023.0,PG-13,5.99,"Sci-Fi,Mystery",27
Rock Dog 2: Rock Around the Park,Prime Video,2021.0,,,"Crime,Horror,Horror",28
The Forever Purge,Prime Video,2021.0,R,,"Children,War,War",29
Halloween Ends,Prime Video,2022.0,R,3.99,Animation,30
Elvis,Prime Video,2022.0,PG-13,3.79,"Drama,Adventure",31
Meg 2: The Trench,Prime Video,2023.0,PG-13,5.99,Children,32
Unhinged,Prime Video,2020.0,R,2.79,"War,War,Thriller",33
Barbie,Prime Video,2023.0,PG-13,24.99,Sci-Fi,34
Joker,Prime Video,2019.0,R,3.99,Sci-Fi,35
Smurfs: The Lost Village,Prime Video,2017.0,PG,,"Fantasy,Fantasy",36
That's My Boy,Prime Video,2012.0,R,,"Romance,Sci-Fi,Children",37
The Bourne Legacy,Prime Video,2012.0,PG-13,3.79,"Sci-Fi,War",38
The Spy Who Dumped Me,Prime Video,2018.0,R,,Action,39
Old,Prime Video,2021.0,PG-13,,"Children,Horror",40
John Wick: Chapter 4,Prime Video,2023.0,R,5.99,Mystery,41
Sicario,Prime Video,2015.0,R,,"Horror,Mystery,Sci-Fi",42
The Addams Family,Prime Video,2019.0,PG,,"Comedy,Fantasy,Crime",43
The Super Mario Bros. Movie - Bonus X-Ray Edition,Prime Video,2023.0,PG,5.99,"Animation,Fantasy",44
My Fault,Prime Video,2023.0,,,"Drama,Drama,Romance",45
Sonic the Hedgehog 2,Prime Video,2022.0,PG,3.89,"Sci-Fi,Action,Thriller",46
Jonah Hex,Prime Video,2010.0,PG-13,2.99,"Children,Thriller,Fantasy",47
Parker,Prime Video,2013.0,R,,Adventure,48
The Twilight Saga: New Moon,Prime Video,2009.0,PG-13,3.99,"Sci-Fi,Children",49
Wonder Woman 1984,Prime Video,2020.0,PG-13,3.99,"Fantasy,Mystery,Comedy",50
Angel Eyes,Prime Video,2001.0,R,3.59,"Horror,Action",51
Creed III,Prime Video,2023.0,PG-13,5.99,"Adventure,Drama",52
